"6023","Tunxis Community College","Commnet","Rts 6 and 177","Farmington","CT","6032"
"6024","Commonwealth Institute of Funeral Service","commonwealth","415 Barren Springs Dr","Houston","TX","77090"
"6025","Community Business College","communitybusinessscollege","3800 McHenry Ave Suite M","Modesto","CA","95356"
"6026","Community Care College","communitycarecollege","4242 South Sheridan","Tulsa","OK","74145"
"6027","Compton Community College","compton","1111 East Artesia Blvd.","Compton","CA","90221"
"6028","Career Education Institute-Norcross","computer-ed","5675 Jimmy Carter Blvd-Ste 100","Norcross","GA","30071"
"6029","Vista College","computercareercenter","6101 Montana Avenue","El Paso","TX","79925"
"6030","ComputerTraining.com at Chantilly,VA,LLC","computertraining","4465 Brookfield Corporate Dr., Suite 300","Chantilly","VA","20151"
"6031","Computer Tutor Business and Technical Institute","computertutor","4306 Sisk Rd","Modesto","CA","95356"
"6032","Conception Seminary College","ConceptionAbbey","37174 State Highway W","Conception","MO","64433"
"6033","Concord University","concord","Vermillion Street, P.O. Box 1000","Athens","WV","24712"
"6034","Concorde Career College","concorde","5100 Poplar Avenue, Suite 132","Memphis","TN","38137"
"6035","Concordia University at Austin","concordia","3400 I-35 North","Austin","TX","78705"
"6036","Concordia College","concordia-ny","171 White Plains Rd","Bronxville","NY","10708"
"6037","Concordia College Alabama","concordiaselma","1804 Green Street","Selma","AL","36701"
"6038","Conemaugh Valley Memorial Hospital","conemaugh","1086 Franklin St","Johnstown","PA","15905"
"6039","Connecticut College","connecticutcollege","270 Mohegan Ave","New London","CT","6320"
"6040","Connors State College","connors","Route 1 Box 1000","Warner","OK","74469"
"6041","Continental School of Beauty Culture - Kenmore","continentalschbeauty","326 Kenmore Ave","Buffalo","NY","14223"
"6042","Contra Costa College","contracosta","2600 Mission Bell Dr","San Pablo","CA","94806"
"6043","Converse College","converse","580 E Main St","Spartanburg","SC","29302"
"6044","Thomas M. Cooley Law School","cooley","300 S Capitol Ave","Lansing","MI","48901"
"6045","Cooper Union for the Advancement of Science and Art","cooper","30 Cooper Square","New York","NY","10003"
"6046","Cooper Health System","cooperhealth","1 Cooper Plz","Camden","NJ","8103"
"6047","Coppin State University","coppin","2500 West North Avenue","Baltimore","MD","21216"
"6048","Puerto Rico Technical Junior College Inc","coqui","Ponce de Leon Ave #703 Hato Rey","San Juan","PR","917"
"6049","Corban University","corban","5000 Deer Park Drive SE","Salem","OR","97317"
"6050","Corcoran College of Art and Design","corcoran","500 17th St NW","Washington","DC","20006"
"6051","Concordia College","cord","901 S. 8th St.","Moorhead","MN","56562"
"6052","Core Institute","coreinstitute","223 W. Carolina Street","Tallahassee","FL","32301"
"6053","Cornell University","cornell","300 Day Hall","Ithaca","NY","14853"
"6054","Cornell College","cornellcollege","600 First St. SW","Mount Vernon","IA","52314"
"6055","Cornerstone University","cornerstone","1001 E Beltline Ave NE","Grand Rapids","MI","49525"
"6056","Corning Community College","corning-cc","1 Academic Dr","Corning","NY","14830"
"6057","Cornish College of the Arts","cornish","1000 Lenora Street","Seattle","WA","98121"
"6058","Cortiva Institute - Pennsylvania School of Muscle Therapy","cortiva","211 South Gulph Road","King of Prussia","PA","19406"
"6059","SUNY College at Cortland","cortland","PO Box 2000","Cortland","NY","13045"
"6060","Charter Oak State College","cosc","55 Paul J Manafort Dr","New Britain","CT","6053"
"6061","Cosmetology Careers UnLTD - Hibbing","coscareers","2534 East Beltline","Hibbing","MN","55746"
"6062","Madison Cosmetology College","cosmetologycollege","310 Westgate Mall","Madison","WI","53711"
"6063","Creative Images Institute of Cosmetology","cosmetologyexcellence","7535 Poe Avenue","Dayton","OH","45414"
"6064","The Salon Professional Academy - Grand Junction","Cosmetologyschool","432 North Avenue","Grand Junction","CO","81501"
"6065","Central Ohio Technical College","cotc","1179 University Drive","Newark","OH","43055"
"6066","The College of Office Technology","cotedu","1520 West Division Street","Chicago","IL","60622"
"6067","Cottey College","cottey","1000 W Austin","Nevada","MO","64772"
"6068","Council for Relationships","councilforrelationships","4025 Chestnut Street, 1st Floor","Philadelphia","PA","19104"
"6069","Court Reporting Institute of Louisiana","courtreportinginstitute","12090 S. Harrells Ferry Road","Baton Rouge","LA","70816"
"6070","Covenant College","covenant","14049 Scenic Highway","Lookout Mountain","GA","30750"
"6071","Covenant Theological Seminary","covenantseminary","12330 Conway Rd.","St. Louis","MO","63141"
"6072","Tennessee Technology Center at Covington","covington","1600 Hwy 51 South","Covington","TN","38019"
"6073","Cowley County Community College and Area Vocational-Technical School","cowley","125 South Second Street, P.O. Box 1147","Arkansas City","KS","67005"
"6074","Cox College","coxcollege","1423 N. Jefferson Ave.","Springfield","MO","65802"
"6075","Lester E. Cox Medical Center - School of Medical Technology","coxhealth","3801 S. National Ave.","Springfield","MO","65807"
"6076","Coyne American Institute Inc","coyneamerican","330 North Green Street","Chicago","IL","60607"
"6077","Central Piedmont Community College","cpcc","1201 Elizabeth Avenue","Charlotte","NC","28204"
"6078","Central Pennsylvania Institute of Science and Technology","cpi","540 North Harrison Road","Pleasant Gap","PA","16823"
"6079","Adult Community Education Center","cpsAdultEd","2323 Lexingron Avenue","Columbus","OH","43211"
"6080","Clover Park Technical College","cptc","4500 Steilacoom Blvd SW","Lakewood","WA","98499"
"6081","Crafton Hills College","craftonhills","11711 Sand Canyon Road","Yucaipa","CA","92399"
"6082","Cranbrook Academy of Art","cranbrook","39221 Woodward Avenue, P.O. Box 801","Bloomfield Hills","MI","48303"
"6083","Craven Community College","cravencc","800 College Ct","New Bern","NC","28562"
"6084","Cambria Rowe Business College","CRBC","221 Central Ave","Johnstown","PA","15902"
"6085","Cosumnes River College","crc","8401 Center Pky","Sacramento","CA","95823"
"6086","Colgate Rochester Crozer Divinity School","crcds","1100 S Goodman St","Rochester","NY","14620"
"6087","Creations College of Cosmetology","creationscosmetology","2419 W Main St","Tupelo","MS","38801"
"6088","The Creative Circus","CREATIVECIRCUS","812 Lambert Dr","Atlanta","GA","30324"
"6089","Creighton University","creighton","2500 California Plaza","Omaha","NE","68178"
"6090","Crescent City Career Institute","crescentcitycoders","429 Wall Boulevard","Gretna","LA","70056"
"6091","Crescent Schools - New Orleans","CrescentSchools","209 North Broad Street","New Orleans","LA","70119"
"6092","Salvation Army College for Officer Training at Crestmont","crestmontcollege","30840 Hawthorne Blvd.","Rancho Palos Verdes","CA","90275"
"6093","Columbus Regional Hospital","crh","2400 East 17th Street","Columbus","IN","47201"
"6094","BCRI Career Training","cri","1951 S. Saturn Way #120","Boise","ID","83709"
"6095","Court Reporting Institute of Dallas","crid","1341 W. Mockingbird Lane, Suite 200 East","Dallas","TX","75247"
"6096","The Criswell College","criswell","4010 Gaston Ave.","Dallas","TX","75246"
"6097","University of Minnesota - Crookston","crk","2900 University Ave","Crookston","MN","56716"
"6098","Crossroads Bible College","crossroads","601 N Shortridge Rd","Indianapolis","IN","46219"
"6099","Crossroads College","crossroadscollege","920 Mayowood Rd SW","Rochester","MN","55902"
"6100","Tennessee Technology Center at Crossville","crossville","910 Miller Avenue","Crossville","TN","38555"
"6101","Crouse Hospital School of Nursing","crouse","736 Irving Ave","Syracuse","NY","13210"
"6102","Crowder College","crowder","601 Laclede Ave","Neosho","MO","64850"
"6103","Crowley's Ridge College","crowleysridgecollege","100 College Dr","Paragould","AR","72450"
"6104","Crown College","crown","8700 College View Drive","Saint Bonifacius","MN","55375"
"6105","Crown College","crowncollege","8739 S Hosmer","Tacoma","WA","98444"
"6106","Crowleys Ridge Technical Institute","crti","1620 Newcastle Road","Forrest City","AR","72335"
"6107","Tennessee Technology Center at Crump","crumpttc","3070 Highway 64 West","Crump","TN","38327"
"6108","Colton-Redlands-Yucaipa Regional Occupational Program","cryop","1214 Indiana Court","Redlands","CA","92374"
"6109","Crystal Mountain School of Therapeutic Massage","crystalmtnmassage","4775 Indian School Road, NE, Suite 102","Albuquerque","NM","87110"
"6110","U. S. Army Medical Department Center and School","cs","2250 Stanley Road, Suite 245","San Antonio","TX","78234"
"6111","Consolidated School of Business","csb","1605 Clugston Rd","York","PA","17404"
"6112","College of Saint Benedict","csbsju","37 S College Ave","Saint Joseph","MN","56374"
"6113","Chadron State College","csc","1000 Main St","Chadron","NE","69337"
"6114","Columbus State Community College","cscc","P.O. Box 1609, 550 E. Spring St.","Columbus","OH","43216"
"6115","Defense Institute of Security Assistance Management","csd","2335 Seventh Street","Wright-Patterson AFB","OH","45433"
"6116","College of Saint Elizabeth","cse","2 Convent Rd","Morristown","NJ","7960"
"6117","Santa Fe University of Art and Design","csf","1600 St. Michael's Drive","Santa Fe","NM","87505"
"6118","Colorado School of Healing Arts","csha","7655 W Mississippi Ste 100","Lakewood","CO","80226"
"6119","Cold Spring Harbor Laboratory","cshl","One Bungtown Road","Cold Spring Harbor","NY","11724"
"6120","College of Southern Idaho","csi","315 Falls Ave.","Twin Falls","ID","83301"
"6121","College of St Joseph","csj","71 Clement Road","Rutland","VT","5701"
"6122","Concordia Seminary","CSL","801 Seminary Place","St. Louis","MO","63105"
"6123","Conway School of Landscape Design","csld","332 South Deerfield Rd","Conway","MA","1341"
"6124","College of Saint Mary","CSM","7000 Mercy Rd.","Omaha","NE","68106"
"6125","College of Southern Maryland","csmd","8730 Mitchell Rd","La Plata","MD","20646"
"6126","College of Southern Nevada","csn","6375 West Charleston Boulevard","Las Vegas","NV","89146"
"6127","Chicago School of Professional Psychology","csopp","325 North Wells Street","Chicago","IL","60610"
"6128","Concordia University, St. Paul","csp","275 Syndicate Street North","St. Paul","MN","55104"
"6129","Central School of Practical Nursing","cspnohio","4700 Rockside Road, Summit 1, Suite 250 and 120","Independence","OH","44131"
"6130","College of Saint Scholastica","css","1200 Kenwood Ave.","Duluth","MN","55811"
"6131","Claremont School of Theology","cst","1325 N College Ave","Claremont","CA","91711"
"6132","Colorado School of Traditional Chinese Medicine","cstcm","1441 York Street, Suite 202","Denver","CO","80206"
"6133","The College of Saints John Fisher and Thomas More","cstm","3020 Lubbock","Fort Worth","TX","76109"
"6134","Chicago State University","csu","9501 South King Drive","Chicago","IL","60628"
"6135","California State University - Bakersfield","csubak","9001 Stockdale Hwy","Bakersfield","CA","93311"
"6136","California State University - Chico","csuchico","400 West First Street","Chico","CA","95929"
"6137","California State University - Channel Islands","csuci","One University Dr","Camarillo","CA","93012"
"6138","California State University - Dominguez Hills","csudh","1000 E Victoria St","Carson","CA","90747"
"6139","California State University - East Bay","csueastbay","25800 Carlos Bee Blvd","Hayward","CA","94542"
"6140","California State University - Fresno","csufresno","5241 N Maple Ave","Fresno","CA","93740"
"6141","Colorado State University:  Global Campus","csuglobal","8000 E. Maplewood Avenue, Building. 5, Suite 250","Greenwood Village","CO","80111"
"6142","California State University - Long Beach","csulb","1250 Bellflower Blvd","Long Beach","CA","90840"
"6143","California Maritime Academy","csum","200 Maritime Academy Dr","Vallejo","CA","94590"
"6144","California State University - Monterey Bay","csumb","100 Campus Ctr","Seaside","CA","93955"
"6145","California State University - Northridge","csun","18111 Nordhoff St","Northridge","CA","91330"
"6146","Charleston Southern University","csuniv","9200 University Blvd","Charleston","SC","29406"
"6147","Cleveland State University","csuohio","2121 Euclid Avenue","Cleveland","OH","44115"
"6148","California State Polytechnic University - Pomona","csupomona","3801 W Temple Ave","Pomona","CA","91768"
"6149","California State University - Sacramento","csus","6000 J St","Sacramento","CA","95819"
"6150","California State University - San Bernardino","csusb","5500 University Pky","San Bernardino","CA","92407"
"6151","California State University - San Marcos","csusm","333 S Twin Oaks Valley Rd","San Marcos","CA","92096"
"6152","California State University - Stanislaus","csustan","801 W Monte Vista","Turlock","CA","95382"
"6153","Computer Training Academy","cta5","1258 Columbia Avenue","Riverside","CA","92507"
"6154","Central Texas College","ctcd","6200 West Central Texas Expressway","Killeen","TX","76549"
"6155","Lincoln Technical Institute - Hartford","ctculinary","85 Sigourney Street","Hartford","CT","6105"
"6156","Metropolitan Career Center Computer Technology Institute","cti-info","100 South Broad Street, Suite 830","Philadelphia","PA","19110"
"6157","Christian Theological Seminary","cts","1000 W 42nd St","Indianapolis","IN","46208"
"6158","Chicago Theological Seminary","ctschicago","1407 E. 60th Street","Chicago","IL","60637"
"6159","Porter and Chester Institute of Branford","ctschoolofelectronics","221 W Main St","Branford","CT","6405"
"6160","Concordia Theological Seminary","ctsfw","6600 N Clinton St","Fort Wayne","IN","46825"
"6161","Columbia Theological Seminary","ctsnet","701 Columbia Drive","Decatur","GA","30030"
"6162","Connecticut Training Centers Inc","cttraining","1137 Main Street","East Hartford","CT","6108"
"6163","Catholic Theological Union","ctu","5401 South Cornell Avenue","Chicago","IL","60615"
"6164","Concordia University","cu-portland","2811 NE Holman Street","Portland","OR","97211"
"6165","Catholic University of America","cua","620 Michigan Avenue, NE","Washington","DC","20064"
"6166","Concordia University","cuaa","4090 Geddes Rd.","Ann Arbor","MI","48105"
"6167","Concordia University Chicago","cuchicago","7400 Augusta","River Forest","IL","60305"
"6168","University of Colorado Denver","cudenver",,"Denver","CO","80217"
"6169","Cuesta College","CUESTA","Highway 1","San Luis Obispo","CA","93403"
"6170","Concordia University","cui","1530 Concordia West","Irvine","CA","92612"
"6171","Culinary Institute of America","culinary","1946 Campus Drive","Hyde Park","NY","12538"
"6172","Culinary Academy of Long Island","culinaryacademy","125 Michael Drive","Syosset","NY","11791"
"6173","Culinary Academy of Austin","culinaryacademyofaustin","6020-B Dillard","Austin","TX","78752"
"6174","JNA Institute of Culinary Arts","culinaryarts","1212 S Broad St","Philadelphia","PA","19146"
"6175","Auguste Escoffier School of Culinary Arts","culinaryschoolrockies","637 South Broadway, Suite H","Boulder","CO","80305"
"6176","Culver-Stockton College","culver","1 College Hill","Canton","MO","63435"
"6177","Cumberland University","cumberland","One Cumberland Square","Lebanon","TN","37087"
"6178","Concordia University","cune","800 N Columbia Ave","Seward","NE","68434"
"6179","Colegio Universitario de San Juan","cunisanjuan","180 Jose Oliver St Tres Monjitas  Ind. Park","San Juan","PR","918"
"6180","Curry College","curry","1071 Blue Hill Ave","Milton","MA","2186"
"6181","Curtis Institute of Music","curtis","1726 Locust St","Philadelphia","PA","19103"
"6182","Concordia University Wisconsin","cuw","12800 N. Lake Shore Dr.","Mequon","WI","53097"
"6183","Cuyamaca College","cuyamaca","900 Rancho San Diego Pky","El Cajon","CA","92019"
"6184","Chattahoochee Valley Community College","cv","2602 College Dr","Phenix City","AL","36869"
"6185","College of Visual Arts","cva","344 Summit Ave.","St. Paul","MN","55102"
"6186","Catawba Valley Community College","cvcc","2550 Hwy 70 SE","Hickory","NC","28602"
"6187","Clinton-Essex-Warren-Washington BOCES","cves","1585 Military Turnpike, P.O. Box 4555","Plattsburgh","NY","12901"
"6188","Chippewa Valley Technical College","cvtc","620 W Clairemont Ave","Eau Claire","WI","54701"
"6189","Canadian Valley Technology Center","cvvt","6505 E Hwy 66","El Reno","OK","73036"
"6190","The College of Westchester","cw","325 Central Park Ave","White Plains","NY","10606"
"6191","Central Wyoming College","cwc","2660 Peck Avenue","Riverton","WY","82501"
"6192","Monroe 2 - Orleans BOCES Center for Workforce Development","cwdadulteducation","160 Wallace Way","Rochester","NY","14626"
"6193","California Western School of Law","cwsl","225 Cedar St","San Diego","CA","92101"
"6194","Central Washington University","cwu","400 East University Way","Ellensburg","WA","98926"
"6195","Cypress College","cypresscollege","9200 Valley View","Cypress","CA","90630"
"6196","University of Minnesota - Duluth","d","515 Darland Administration Bldg.","Duluth","MN","55812"
"6197","U.S. Army Defense Ammunition Center, Training Directorate","dac","1 C Tree Road","McAlester","OK","74501"
"6198","Danville Area Community College","dacc","2000 E. Main St.","Danville","IL","61832"
"6199","Lincoln College of Technology - Denver","DADC","460 S Lipan St","Denver","CO","80223"
"6200","Dade Medical College - Miami","dademedicalinstitute","3721-1 NW 7th St","Miami","FL","33126"
"6201","D.A. Dorsey Educational Center","dadeschools","7100 N.W. 17th Avenue","Miami","FL","33147"
"6202","Daemen College","daemen","4380 Main St","Amherst","NY","14226"
"6203","CB&T, Inc. Dale Carnegie Training","dalecarnegie","7200 NW 86th Street, Suite A","Kansas City","MO","64153"
"6204","Performance Improvement Group Dale Carnegie Training of Los Angeles","dalecarnegie-la","675 W. Foothill Blvd., Suite 310","Claremont","CA","91711"
"6205","Ken Roberts Corporation Dale Carnegie Training","dalecarnegiecentralflorida","4295 South Atlantic Avenue","Wilbur by the Sea","FL","32127"
"6206","Corporate Change Catalysts Consortium of the West LLC","dalecarnegiecolorado","5619 DTC Parkway, Suite 175","Greenwood Village","CO","80111"
"6207","Ralph Nichols Group, Inc. Dale Carnegie Training","dalecarnegiemichigan","19500 Victor Parkway, Suite 275","Livonia","MS","48152"
"6208","Dale Carnegie of Montana and NW Wyoming PDG Solutions","dalecarnegiemontana","427 MacTavish Lane","Belgrade","MT","59714"
"6209","Dale Carnegie of Georgia","dalecarnegieofgeorgia","Three Ravinia Drive, Suite 1480","Atlanta","GA","30346"
"6210","Innovative Corporate Solutions","dalecarnegieofsandiego","5958 Caminito Cardelina","La Jolla","CA","92037"
"6211","Dallas Christian College","dallas","2700 Christian Pkwy","Dallas","TX","75234"
"6212","Dallas Institute of Funeral Service","dallasinstitute","3909 S Buckner Blvd","Dallas","TX","75227"
"6213","Kaplan College - Dallas","dallasparalegal","12005 Ford Road, Suite 100","Dallas","TX","75234"
"6214","Dalton State College","daltonstate","650 College Drive","Dalton","GA","30720"
"6215","Dana College","dana","2848 College Dr","Blair","NE","68008"
"6216","Dance Theatre of Harlem, Inc.","dancetheatreofharlem","466 West 152nd Street","New York","NY","10031"
"6217","Danville Regional Medical Center School of Health Professions","danvilleregional","142 S Main St","Danville","VA","24541"
"6218","Dartmouth College","dartmouth",,"Hanover","NH","3755"
"6219","Darton State College","darton","2400 Gillionville Rd","Albany","GA","31707"
"6220","Downey Adult School","das","12340 Woodruff Ave","Downey","CA","90241"
"6221","Davis Applied Technology College","datc","550 East 300 South","Kaysville","UT","84037"
"6222","Defense Acquisition University","dau","9820 Belvoir Road","Ft. Belvoir","VA","22060"
"6223","Davenport University","davenport","6191 Kraft Avenue S.E.","Grand Rapids","MI","49512"
"6224","Davidson College","davidson","102 N. Main Street","Davidson","NC","28035"
"6225","Davidson County Community College","davidsonccc","297 Davidson Community College Rd","Thomasville","NC","27360"
"6226","Davis College","daviscollege","4747 Monroe St","Toledo","OH","43623"
"6227","Davis College","davisny","400 Riverside Drive","Johnson City","NY","13790"
"6228","Dawn Career Institute","DAWNTRAININGCENTRE","3700 Lancaster Pike Suite 105","Wilmington","DE","19805"
"6229","Dawson Community College","dawson","300 College Drive","Glendive","MT","59330"
"6230","Daymar College - Owensboro","daymarcollege","3361 Buckland Square","Owensboro","KY","42301"
"6231","Daytona State College","daytonastate","1200 W. International Speedway Blvd.","Daytona Beach","FL","32114"
"6232","Dayton Barber College","daytonbarbercollege","2741 C Lyons Road","Miamisburg","OH","45342"
"6233","DuBois Business College","dbcollege","One Beaver Dr","DuBois","PA","15801"
"6234","Detroit Business Institute - Downriver","dbidownriver","19100 Fort St","Riverview","MI","48193"
"6235","University of Dubuque","dbq","2000 University Ave","Dubuque","IA","52001"
"6236","Dallas Baptist University","dbu","3000 Mountain Creek Parkway","Dallas","TX","75211"
"6237","Duluth Business University","dbumn","4724 Mike Colalillo Drive","Dultuh","MN","55807"
"6238","Dominican College of Blauvelt","dc","470 Western Hwy","Orangeburg","NY","10962"
"6239","International Union of Painters and Allied Trades, District Council 21","dc21","2190 Hornig Road","Philadelphia","PA","19116"
"6240","Defense Cyber Investigations Training Academy","dc3","911 Elkridge Landing Road","Linthicum","MD","21090"
"6241","Delaware College of Art and Design","dcad","600 N Market St","Wilmington","DE","19801"
"6242","Danville Community College","dcc","1008 S Main St","Danville","VA","24541"
"6243","Delaware County Community College","dccc","901 S Media Line Rd","Media","PA","19063"
"6244","DCH Regional Medical Center","dchsystem","809 University Blvd., East","Tuscaloosa","AL","35401"
"6245","DCI Career Institute","dci","366 Beaver Valley Mall","Monaca","PA","15061"
"6246","Delaware County Technical School","dciu","Delmar Dr  and Henderson Blvd","Folcroft","PA","19032"
"6247","Dakota County Technical College","dctc","1300  145th Street East","Rosemount","MN","55068"
"6248","David Demuth Institute of Cosmetology","DDICCAREER","1301 South 8th Street","Richmond","IN","47374"
"6249","Dean College","dean","99 Main Street","Franklin","MA","2038"
"6250","De Anza College","deanza","21250 Stevens Creek Blvd.","Cupertino","CA","95014"
"6251","Deep Springs College","deepsprings","Deep Springs Ranch Road, Highway 168","Big Pine","CA","89010"
"6252","Defiance College","defiance","701 N. Clinton St.","Defiance","OH","43512"
"6253","Dekalb Medical Center","dekalbmedical","2701 North Decatur Road","Decatur","GA","30033"
"6254","Georgia Piedmont Technical College","dekalbtech","495 N Indian Creek Dr","Clarkston","GA","30021"
"6255","Delano Adult School","delanoadultschool","1811 Princeton Street","Delano","CA","93215"
"6256","Delaware Valley Academy of Medical and Dental Assistants","Delawarevalleyacademcy","3330 Grant Avenue, Grant Academy Shopping Center","Philadelphia","PA","19114"
"6257","SUNY College of Technology at Delhi","delhi","2 Main Street","Delhi","NY","13753"
"6258","Dell'Arte International School of Physical Theatre","dellarte","131 H Street","Blue Lake","CA","95525"
"6259","Del Mar College","delmar","101 Baldwin Blvd.","Corpus Christi","TX","78404"
"6260","Evans Community Adult School","delphi","717 N. Figueroa St.","Los Angeles","CA","90012"
"6261","Delta College","delta","1961 Delta Road","University Center","MI","48710"
"6262","Delta College","deltacollege","19231 North 6th Street","Covington","LA","70433"
"6263","Aerosim Flight Academy - Houston","deltaconnectionacademy","12711 Blume Avenue, Ellington Field","Houston","TX","77034"
"6264","Delta State University","deltastate","1003 West Sunflower Road","Cleveland","MS","38733"
"6265","Delta School of Business and Technology","deltatech","517 Broad St","Lake Charles","LA","70601"
"6266","Delaware Valley College","delval","700 E Butler Ave","Doylestown","PA","18901"
"6267","Denison University","denison","100 West College Rd","Granville","OH","43023"
"6268","Denmark Technical College","denmarktech","500 Solomon Blatt Blvd","Denmark","SC","29042"
"6269","Kaplan College - Thornton","denvercareercollege","500 E. 84th Ave., W-200","Thornton","CO","80229"
"6270","Denver Family Institute","denverfamilyinstitute","7200 East Hampden Avenue","Denver","CO","80224"
"6271","Denver School of Nursing","denverschoolofnursing","1401 19th Street","Denver","CO","80202"
"6272","Denver Seminary","denverseminary","6399 S. Santa Fe Drive","Littleton","CO","80120"
"6273","Defense Equal Opportunity Management Institute","deomi","366 Tuskegee Airman Drive","Patrick Air Force Base","FL","32925"
"6274","DePaul University","depaul","1 East Jackson Blvd.","Chicago","IL","60604"
"6275","DePauw University","depauw","313 S Locust St","Greencastle","IN","46135"
"6276","Inter American University of Puerto Rico - School of Law","derecho","Calle Federico Costa 170 Sector Tres Monjitas","San Juan","PR","936"
"6277","DeSales University","desales","2755 Station Avenue","Center Valley","PA","18034"
"6278","Cortiva Institute - Desert Institute of the Healing Arts","desertinstitute","6390 East Broadway Boulevard","Tucson","AZ","85710"
"6279","Delaware State University","desu","1200 N. Dupont Highway","Dover","DE","19901"
"6280","DeVry University","devry","One Tower Lane","Oakbrook Terrace","IL","60181"
"6281","Davis & Elkins College","dewv","100 Campus Dr","Elkins","WV","26241"
"6282","Dominican House of Studies","DHS","487 Michigan Ave NE","Washington","DC","20017"
"6283","Joint Military Attache School (JMAS)","dia","Building 6000, 200 MacDill Boulevard","Washington","DC","20340"
"6284","Diamond Council of America","diamondcouncil","3212 West End Avenue, Suite 202","Nashville","TN","37203"
"6285","Dickinson College","dickinson","College and Louther Streets","Carlisle","PA","17013"
"6286","Dickinson State University","dickinsonstate","291 Campus Drive","Dickinson","ND","58601"
"6287","Tennessee Technology Center at Dickson","DICKSON","740 Hwy 46","Dickson","TN","37055"
"6288","Diesel Driving Academy","dieseldrivingacademy","8067 Airline Highway","Baton Rouge","LA","70815"
"6289","DigiPen Institute of Technology","digipen","5001-150th Ave NE","Redmond","WA","98052"
"6290","Dillard University","dillard","2601 Gentilly Blvd","New Orleans","LA","70122"
"6291","The Diller-Quaile School of Music","diller-quaile","24 East 95th Street","New York","NY","10128"
"6292","Design Institute of San Diego","DISD","8555 Commerce Ave","San Diego","CA","92121"
"6293","Maricopa Community College System Office","dist","2411 W 14th St","Tempe","AZ","85281"
"6294","Divers Academy International","diversacademy","Lakeside Business Park, 1500 Liberty Place","Erial","NJ","8081"
"6295","Divers Institute of Technology","diversinstitute","4315 11th Ave NW","Seattle","WA","98107"
"6296","Dixie State College of Utah","dixie","225 S 700 E","Saint George","UT","84770"
"6297","Defense Language Institute","dli","Presidio of Monterey","Monterey","CA","93944"
"6298","Diversified Vocational College - Los Angeles","dliusa","1670 Wilshire Boulevard","Los Angeles","CA","90017"
"6299","Des Moines Area Community College","dmacc","2006 S. Ankeny Blvd.","Ankeny","IA","50023"
"6300","D'Mart Institute - Vega Alta","dmartpr","The Gallery at Gran Cabibe Carr. #2 Km 29.7","Vega Alta","PR","962"
"6301","Decatur Memorial Hospital","dmhhs","2300 North Edward St.","Decatur","IL","62526"
"6302","Deep Muscle Therapy School","dmtsmassage","5341 Limestone Rd","Wilmington","DE","19808"
"6303","Des Moines University - Osteopathic Medical Center","dmu","3200 Grand Ave.","Des Moines","IA","50312"
"6304","Doane College","doane","1014 Boswell Avenue","Crete","NE","68333"
"6305","Dominican University","dom","7900 W Division St","River Forest","IL","60305"
"6306","Dominican University of California","dominican","50 Acacia Ave","San Rafael","CA","94901"
"6307","Dordt College","dordt","498 4th Ave NE","Sioux Center","IA","51250"
"6308","Dorsey School of Business","dorseyschools","15755 Northline Road","Southgate","MI","48195"
"6309","Douglas Education Center","douglas-school","130 7th St","Monessen","PA","15062"
"6310","Douglas J Aveda Institute","DouglasJ","331 East Grand River Ave","East Lansing","MI","48823"
"6311","Dover Business College - Clifton","doverbusinesscollege","600 Getty Avenue","Clifton","NJ","7011"
"6312","Dowling College","dowling","Idle Hour Blvd","Oakdale","NY","11769"
"6313","Downeast School of Massage","downeastschoolofmassage","99 Moose Meadow Lane, PO Box 24","Waldoboro","ME","4572"
"6314","SUNY Downstate Medical Center","downstate","450 Clarkson Avenue","Brooklyn","NY","11203"
"6315","DPT Business School","dptschool","11000 Roosevelt Blvd Ste 200","Philadelphia","PA","19116"
"6316","Dragon Rises College of Oriental Medicine","dragonrises","1000 NE 16th Avenue, Building F","Gainesville","FL","32601"
"6317","Drake University","drake","2507 University Ave","Des Moines","IA","50311"
"6318","Drake College of Business","drakecollege","125 Broad St","Elizabeth","NJ","7201"
"6319","J.F. Drake State Community and Technical College","drakestate","3421 Meridian St North","Huntsville","AL","35811"
"6320","Drew University","drew","36 Madison Ave","Madison","NJ","7940"
"6321","Drexel University","drexel","3141 Chestnut St","Philadelphia","PA","19104"
"6322","United Truck & Car Driving School","drivetrucks","2425 Camino Del Rio South","San Diego","CA","92108"
"6323","Drury University","drury","900 N. Benton Ave.","Springfield","MO","65802"
"6324","Dyersburg State Community College","dscc","1510 Lake Road","Dyersburg","TN","38024"
"6325","Dickinson School of Law","dsl","150 South College St","Carlisle","PA","17013"
"6326","Dabney S Lancaster Community College","dslcc","1000 Dabney Drive","Clifton Forge","VA","24422"
"6327","Dominican School of Philosophy and Theology","dspt","2301 Vine Street","Berkeley","CA","94708"
"6328","Defense Security Service Academy","dss","938 Elkridge Landing Road","Linthicum","MD","21090"
"6329","Dakota State University","dsu","820 N. Washington Ave.","Madison","SD","57042"
"6330","Delaware Technical and Community College - Owens","dtcc","Route 18, Seashore Highway","Georgetown","DE","19947"
"6331","National Career College","dtisc","6850 Van Nuys Boulevard, Suite 300","Van Nuys","CA","91405"
"6332","Dallas Theological Seminary","dts","3909 Swiss Ave","Dallas","TX","75204"
"6333","University of Denver","du","2199 S. University Blvd","Denver","CO","80208"
